qseqid,paralogy_index,paralogy_index_ignoreMissing,paralog_percent,paralog_percent_ignoreMissing,full_percent,unique_percent,missing_percent,n_chroms,Sample,orderMean,step.k1.pred,nplr_mod.pred,nplr_mod.pred_resid
4744,0.87,1.02,1.3,1.6,85.4,84.1,14.6,2,Cr209Wiss_Crataegus-laevigata,1,21.1384615384615,0.0352749853564468,1.56472501464355
4744,0.87,1.02,1.3,1.6,85.4,84.1,14.6,2,Cr206Wiss_Crataegus-monogyna,1,21.1384615384615,0.0352749853564468,1.56472501464355
4744,0.87,1.02,1.3,1.6,85.4,84.1,14.6,2,Cr195RU_Crataegus-pentagyna,1,21.1384615384615,0.0352749853564468,1.56472501464355
4744,0.87,1.02,1.3,1.6,85.4,84.1,14.6,2,Hsp222TAD_Hesperomeles-obtusifolia,1,21.1384615384615,0.0352749853564468,1.56472501464355
4744,0.87,1.02,1.3,1.6,85.4,84.1,14.6,2,Cr185TAD_Crataegus-punctata,1,21.1384615384615,0.0352749853564468,1.56472501464355
4744,0.87,1.02,1.3,1.6,85.4,84.1,14.6,2,Cr196LE_Crataegus-chlorosarca,1,21.1384615384615,0.0352749853564468,1.56472501464355
4932,0.66,1,0.3,0.5,66.1,65.8,33.9,1,Pru285BGUK_Prunus-tenella,2,21.1384615384615,0.279166549308154,0.220833450691846
4932,1.01,1.01,1.3,1.3,100,98.7,0,2,S232BIN_Sorbus-sambucifolia,2,21.1384615384615,0.279166549308154,1.02083345069185
4932,1.01,1.01,1.3,1.3,100,98.7,0,2,S230GrAl_Sorbus-tianschanica,2,21.1384615384615,0.279166549308154,1.02083345069185
4932,1.02,1.02,1.6,1.6,99.9,98.3,0.1,2,Pyr227GrAl_Pyrus-regelii,2,21.1384615384615,0.279166549308154,1.32083345069185
4932,1.02,1.02,1.6,1.6,100,98.4,0,2,Mlu225ILL_Malus-ombrophila,2,21.1384615384615,0.279166549308154,1.32083345069185
4932,1.02,1.02,1.6,1.6,100,98.4,0,2,Pyrn229Dut_Pyracantha-coccinea,2,21.1384615384615,0.279166549308154,1.32083345069185
4932,1.02,1.02,1.6,1.6,100,98.4,0,2,Mlu238BIN_Malus-toringo,2,21.1384615384615,0.279166549308154,1.32083345069185
4932,1.02,1.02,1.6,1.6,100,98.4,0,2,Mlu211GrAl_Malus-sieversii,2,21.1384615384615,0.279166549308154,1.32083345069185
4932,1.02,1.02,1.6,1.6,100,98.4,0,2,Mlu226BIN_Malus-sylvestris,2,21.1384615384615,0.279166549308154,1.32083345069185
4932,1.02,1.02,1.7,1.7,100,98.3,0,2,Cr186TAD_Crataegus-brachyacantha,2,21.1384615384615,0.279166549308154,1.42083345069185
4932,1.02,1.02,1.9,1.9,100,98.1,0,2,Micr214RU_Micromeles-alnifolia,2,21.1384615384615,0.279166549308154,1.62083345069185
4932,1.02,1.02,1.9,1.9,100,98.1,0,2,S217RU_Sorbus-aucuparia,2,21.1384615384615,0.279166549308154,1.62083345069185
4932,1.02,1.02,1.9,1.9,100,98.1,0,2,Pour210RU_Pourthiaea-villosa,2,21.1384615384615,0.279166549308154,1.62083345069185
4932,1.02,1.02,2,2,100,98,0,2,Cr197LE_Crataegus-aronia,2,21.1384615384615,0.279166549308154,1.72083345069185
4932,1.02,1.02,2,2,100,98,0,2,Hsp222TAD_Hesperomeles-obtusifolia,2,21.1384615384615,0.279166549308154,1.72083345069185
4932,1.02,1.02,2,2,100,98,0,2,Cr185TAD_Crataegus-punctata,2,21.1384615384615,0.279166549308154,1.72083345069185
4932,1.02,1.02,2,2,100,98,0,2,Cr193GrAl_Crataegus-remotilobata,2,21.1384615384615,0.279166549308154,1.72083345069185
4932,1.02,1.02,2.3,2.3,100,97.7,0,2,Cr205LE_Crataegus-pycnoloba,2,21.1384615384615,0.279166549308154,2.02083345069185
4932,1.02,1.02,2.3,2.3,100,97.7,0,2,Cr209Wiss_Crataegus-laevigata,2,21.1384615384615,0.279166549308154,2.02083345069185
4932,1.02,1.02,2.3,2.3,100,97.7,0,2,Cr206Wiss_Crataegus-monogyna,2,21.1384615384615,0.279166549308154,2.02083345069185
4932,1.02,1.02,2.3,2.3,100,97.7,0,2,Cr195RU_Crataegus-pentagyna,2,21.1384615384615,0.279166549308154,2.02083345069185
4932,1.02,1.02,2.3,2.3,100,97.7,0,2,Cr184TAD_Crataegus-triflora,2,21.1384615384615,0.279166549308154,2.02083345069185
4932,1.02,1.02,2.3,2.3,100,97.7,0,2,Cr183TAD_Crataegus-calpodendron,2,21.1384615384615,0.279166549308154,2.02083345069185
4932,1.02,1.02,2.3,2.3,100,97.7,0,2,Cr204Bab_Crataegus-dahurica,2,21.1384615384615,0.279166549308154,2.02083345069185
4932,1.02,1.02,2.3,2.3,100,97.7,0,2,Cr202RU_Crataegus-pinnatifida,2,21.1384615384615,0.279166549308154,2.02083345069185
4932,1.02,1.02,2.3,2.3,100,97.7,0,2,Cr196LE_Crataegus-chlorosarca,2,21.1384615384615,0.279166549308154,2.02083345069185
4757,1,1,0,0,100,100,0,2,Cr205LE_Crataegus-pycnoloba,3,21.1384615384615,1.21673097480135,-1.21673097480135
4757,1,1,0,0,100,100,0,3,Micr214RU_Micromeles-alnifolia,3,21.1384615384615,1.21673097480135,-1.21673097480135
4757,1,1,0,0,100,100,0,3,Cr197LE_Crataegus-aronia,3,21.1384615384615,1.21673097480135,-1.21673097480135
4757,1,1,0,0,100,100,0,3,Cr209Wiss_Crataegus-laevigata,3,21.1384615384615,1.21673097480135,-1.21673097480135
4757,1,1,0,0,100,100,0,2,Pyr227GrAl_Pyrus-regelii,3,21.1384615384615,1.21673097480135,-1.21673097480135
4757,1,1,0,0,100,100,0,3,Cr206Wiss_Crataegus-monogyna,3,21.1384615384615,1.21673097480135,-1.21673097480135
4757,1,1,0,0,100,100,0,2,Cr186TAD_Crataegus-brachyacantha,3,21.1384615384615,1.21673097480135,-1.21673097480135
4757,1,1,0,0,100,100,0,3,S232BIN_Sorbus-sambucifolia,3,21.1384615384615,1.21673097480135,-1.21673097480135
4757,1,1,0,0,100,100,0,2,Cr195RU_Crataegus-pentagyna,3,21.1384615384615,1.21673097480135,-1.21673097480135
4757,1,1,0,0,100,100,0,4,Mlu225ILL_Malus-ombrophila,3,21.1384615384615,1.21673097480135,-1.21673097480135
4757,0.8,1,0,0,79.7,79.7,20.3,2,Pyrn229Dut_Pyracantha-coccinea,3,21.1384615384615,1.21673097480135,-1.21673097480135
4757,1,1,0,0,100,100,0,2,Hsp222TAD_Hesperomeles-obtusifolia,3,21.1384615384615,1.21673097480135,-1.21673097480135
4757,1,1,0,0,100,100,0,3,S230GrAl_Sorbus-tianschanica,3,21.1384615384615,1.21673097480135,-1.21673097480135
4757,0.7,1,0,0,70.1,70.1,29.9,1,Pru285BGUK_Prunus-tenella,3,21.1384615384615,1.21673097480135,-1.21673097480135
4757,1,1,0,0,100,100,0,3,Cr184TAD_Crataegus-triflora,3,21.1384615384615,1.21673097480135,-1.21673097480135
4757,1,1,0,0,100,100,0,1,Cr185TAD_Crataegus-punctata,3,21.1384615384615,1.21673097480135,-1.21673097480135
4757,1,1,0,0,100,100,0,3,S217RU_Sorbus-aucuparia,3,21.1384615384615,1.21673097480135,-1.21673097480135
4757,1,1,0,0,100,100,0,2,Cr183TAD_Crataegus-calpodendron,3,21.1384615384615,1.21673097480135,-1.21673097480135
4757,1,1,0,0,100,100,0,2,Cr204Bab_Crataegus-dahurica,3,21.1384615384615,1.21673097480135,-1.21673097480135
4757,1,1,0,0,100,100,0,3,Mlu211GrAl_Malus-sieversii,3,21.1384615384615,1.21673097480135,-1.21673097480135
4757,1,1,0,0,100,100,0,3,Cr202RU_Crataegus-pinnatifida,3,21.1384615384615,1.21673097480135,-1.21673097480135
4757,1,1,0,0,100,100,0,3,Cr196LE_Crataegus-chlorosarca,3,21.1384615384615,1.21673097480135,-1.21673097480135
4757,1,1,0,0,100,100,0,3,Cr193GrAl_Crataegus-remotilobata,3,21.1384615384615,1.21673097480135,-1.21673097480135
4757,1.17,1.17,17.4,17.4,100,82.6,0,4,Pour210RU_Pourthiaea-villosa,3,21.1384615384615,1.21673097480135,16.1832690251987
4757,1.32,1.32,31.8,31.8,100,68.2,0,4,Mlu238BIN_Malus-toringo,3,21.1384615384615,1.21673097480135,30.5832690251987
4757,1.38,1.38,38.3,38.3,100,61.7,0,3,Mlu226BIN_Malus-sylvestris,3,21.1384615384615,1.21673097480135,37.0832690251986
4954,0.81,1,0.3,0.4,80.7,80.4,19.3,3,S230GrAl_Sorbus-tianschanica,4,21.1384615384615,3.68814551917524,-3.28814551917524
4954,0.9,1.01,0.7,0.7,89,88.4,11,4,S217RU_Sorbus-aucuparia,4,21.1384615384615,3.68814551917524,-2.98814551917524
4954,0.88,1.01,0.8,0.9,87.5,86.7,12.5,3,S232BIN_Sorbus-sambucifolia,4,21.1384615384615,3.68814551917524,-2.78814551917524
4954,0.88,1.01,0.8,0.9,87.5,86.7,12.5,3,Mlu225ILL_Malus-ombrophila,4,21.1384615384615,3.68814551917524,-2.78814551917524
4954,0.89,1.01,0.8,0.9,87.9,87.2,12.1,3,Pyrn229Dut_Pyracantha-coccinea,4,21.1384615384615,3.68814551917524,-2.78814551917524
4954,0.88,1.01,0.8,0.9,87.5,86.7,12.5,3,Hsp222TAD_Hesperomeles-obtusifolia,4,21.1384615384615,3.68814551917524,-2.78814551917524
4954,0.8,1.01,0.8,1,79.1,78.4,20.9,2,Mlu211GrAl_Malus-sieversii,4,21.1384615384615,3.68814551917524,-2.68814551917524
4954,0.9,1.01,1.1,1.2,88.7,87.6,11.3,3,Pour210RU_Pourthiaea-villosa,4,21.1384615384615,3.68814551917524,-2.48814551917524
4954,0.96,1.01,1.2,1.3,94.6,93.4,5.4,4,Pyr227GrAl_Pyrus-regelii,4,21.1384615384615,3.68814551917524,-2.38814551917524
4954,0.8,1.01,1.1,1.4,79.1,78,20.9,2,Cr209Wiss_Crataegus-laevigata,4,21.1384615384615,3.68814551917524,-2.28814551917524
4954,0.8,1.01,1.1,1.4,79.1,78,20.9,2,Cr186TAD_Crataegus-brachyacantha,4,21.1384615384615,3.68814551917524,-2.28814551917524
4954,0.8,1.01,1.1,1.4,79.1,78,20.9,2,Cr196LE_Crataegus-chlorosarca,4,21.1384615384615,3.68814551917524,-2.28814551917524
4954,0.89,1.02,1.6,1.9,87.5,85.8,12.5,3,Cr205LE_Crataegus-pycnoloba,4,21.1384615384615,3.68814551917524,-1.78814551917524
4954,0.89,1.02,1.6,1.9,87.5,85.8,12.5,3,Cr195RU_Crataegus-pentagyna,4,21.1384615384615,3.68814551917524,-1.78814551917524
4954,0.89,1.02,1.6,1.9,87.5,85.8,12.5,3,Mlu238BIN_Malus-toringo,4,21.1384615384615,3.68814551917524,-1.78814551917524
4954,0.9,1.02,1.6,1.9,87.9,86.3,12.1,3,Cr184TAD_Crataegus-triflora,4,21.1384615384615,3.68814551917524,-1.78814551917524
4954,0.81,1.02,1.6,2.1,79.1,77.5,20.9,2,Cr197LE_Crataegus-aronia,4,21.1384615384615,3.68814551917524,-1.58814551917524
4954,0.81,1.02,1.6,2.1,79.1,77.5,20.9,2,Cr193GrAl_Crataegus-remotilobata,4,21.1384615384615,3.68814551917524,-1.58814551917524
4954,0.98,1.02,2.1,2.2,95.8,93.7,4.2,4,Cr185TAD_Crataegus-punctata,4,21.1384615384615,3.68814551917524,-1.48814551917524
4954,0.89,1.02,2,2.3,87.5,85.5,12.5,3,Cr204Bab_Crataegus-dahurica,4,21.1384615384615,3.68814551917524,-1.38814551917524
4954,0.81,1.02,2,2.5,79.1,77.2,20.9,2,Cr206Wiss_Crataegus-monogyna,4,21.1384615384615,3.68814551917524,-1.18814551917524
4954,0.98,1.03,2.4,2.5,95.8,93.4,4.2,4,Cr202RU_Crataegus-pinnatifida,4,21.1384615384615,3.68814551917524,-1.18814551917524
4954,0.99,1.13,11,12.5,87.5,76.5,12.5,4,Cr183TAD_Crataegus-calpodendron,4,21.1384615384615,3.68814551917524,8.81185448082476
4954,1.07,1.22,17.7,20.1,87.8,70.1,12.2,4,Micr214RU_Micromeles-alnifolia,4,21.1384615384615,3.68814551917524,16.4118544808248
4954,0.98,1.24,18.8,23.7,79.1,60.4,20.9,3,Mlu226BIN_Malus-sylvestris,4,21.1384615384615,3.68814551917524,20.0118544808248
4954,1,1.38,27.4,37.9,72.3,44.9,27.7,3,Pru285BGUK_Prunus-tenella,4,21.1384615384615,3.68814551917524,34.2118544808248
4471,0.65,1.02,1.1,1.7,64,63,36,1,Pru285BGUK_Prunus-tenella,5,21.1384615384615,8.52007252885173,-6.82007252885173
4471,0.95,1.04,3.3,3.6,92,88.7,8,1,Cr186TAD_Crataegus-brachyacantha,5,21.1384615384615,8.52007252885173,-4.92007252885174
4471,1.04,1.04,3.6,3.6,100,96.4,0,1,S232BIN_Sorbus-sambucifolia,5,21.1384615384615,8.52007252885173,-4.92007252885174
4471,0.95,1.04,3.3,3.6,92,88.7,8,1,Hsp222TAD_Hesperomeles-obtusifolia,5,21.1384615384615,8.52007252885173,-4.92007252885174
4471,1.04,1.04,3.6,3.6,100,96.4,0,1,S230GrAl_Sorbus-tianschanica,5,21.1384615384615,8.52007252885173,-4.92007252885174
4471,0.95,1.04,3.3,3.6,92,88.7,8,1,Cr184TAD_Crataegus-triflora,5,21.1384615384615,8.52007252885173,-4.92007252885174
4471,0.95,1.04,3.3,3.6,92,88.7,8,1,Cr185TAD_Crataegus-punctata,5,21.1384615384615,8.52007252885173,-4.92007252885174
4471,0.95,1.04,3.3,3.6,92,88.7,8,1,Cr183TAD_Crataegus-calpodendron,5,21.1384615384615,8.52007252885173,-4.92007252885174
4471,0.95,1.04,3.3,3.6,92,88.7,8,1,Cr204Bab_Crataegus-dahurica,5,21.1384615384615,8.52007252885173,-4.92007252885174
4471,0.95,1.04,3.3,3.6,92,88.7,8,1,Cr196LE_Crataegus-chlorosarca,5,21.1384615384615,8.52007252885173,-4.92007252885174
4471,0.95,1.04,3.3,3.6,92,88.7,8,1,Cr193GrAl_Crataegus-remotilobata,5,21.1384615384615,8.52007252885173,-4.92007252885174
4471,0.96,1.04,3.8,4.1,92,88.2,8,1,Cr197LE_Crataegus-aronia,5,21.1384615384615,8.52007252885173,-4.42007252885174
4471,1.04,1.04,4.4,4.4,100,95.6,0,1,Micr214RU_Micromeles-alnifolia,5,21.1384615384615,8.52007252885173,-4.12007252885173
4471,1.04,1.04,4.4,4.4,100,95.6,0,1,Mlu238BIN_Malus-toringo,5,21.1384615384615,8.52007252885173,-4.12007252885173
4471,1.04,1.04,4.4,4.4,100,95.6,0,1,S217RU_Sorbus-aucuparia,5,21.1384615384615,8.52007252885173,-4.12007252885173
4471,1.04,1.04,4.4,4.4,100,95.6,0,1,Mlu211GrAl_Malus-sieversii,5,21.1384615384615,8.52007252885173,-4.12007252885173
4471,0.96,1.04,4.1,4.4,92,87.9,8,1,Mlu226BIN_Malus-sylvestris,5,21.1384615384615,8.52007252885173,-4.12007252885173
4471,1.05,1.05,4.5,4.5,100,95.5,0,1,Pyrn229Dut_Pyracantha-coccinea,5,21.1384615384615,8.52007252885173,-4.02007252885173
4471,0.96,1.05,4.2,4.6,92,87.8,8,1,Cr205LE_Crataegus-pycnoloba,5,21.1384615384615,8.52007252885173,-3.92007252885174
4471,0.96,1.05,4.2,4.6,92,87.8,8,1,Cr209Wiss_Crataegus-laevigata,5,21.1384615384615,8.52007252885173,-3.92007252885174
4471,0.96,1.05,4.2,4.6,92,87.8,8,1,Cr206Wiss_Crataegus-monogyna,5,21.1384615384615,8.52007252885173,-3.92007252885174
4471,0.96,1.05,4.2,4.6,92,87.8,8,1,Cr202RU_Crataegus-pinnatifida,5,21.1384615384615,8.52007252885173,-3.92007252885174
4471,1.05,1.05,4.8,4.8,100,95.2,0,1,Pyr227GrAl_Pyrus-regelii,5,21.1384615384615,8.52007252885173,-3.72007252885173
4471,1.11,1.2,17.5,19,92,74.5,8,2,Cr195RU_Crataegus-pentagyna,5,21.1384615384615,8.52007252885173,10.4799274711483
4471,1.34,1.34,30.8,30.8,100,69.2,0,2,Mlu225ILL_Malus-ombrophila,5,21.1384615384615,8.52007252885173,22.2799274711483
4471,2.24,2.24,84.1,84.1,100,15.9,0,4,Pour210RU_Pourthiaea-villosa,5,21.1384615384615,8.52007252885173,75.5799274711483
4796,0.4,1,0,0,39.9,39.9,60.1,2,Pru285BGUK_Prunus-tenella,6,21.1384615384615,16.000762961349,-16.000762961349
4796,0.92,1.02,1.8,2,90.1,88.3,9.9,2,Cr204Bab_Crataegus-dahurica,6,21.1384615384615,16.000762961349,-14.000762961349
4796,0.9,1.02,1.8,2.1,88.1,86.3,11.9,2,Micr214RU_Micromeles-alnifolia,6,21.1384615384615,16.000762961349,-13.900762961349
4796,1.01,1.04,3.9,4,96.7,92.8,3.3,1,Cr206Wiss_Crataegus-monogyna,6,21.1384615384615,16.000762961349,-12.000762961349
4796,1.01,1.04,3.9,4,96.7,92.8,3.3,2,Mlu238BIN_Malus-toringo,6,21.1384615384615,16.000762961349,-12.000762961349
4796,1.01,1.04,3.9,4,96.7,92.8,3.3,2,Hsp222TAD_Hesperomeles-obtusifolia,6,21.1384615384615,16.000762961349,-12.000762961349
4796,1.01,1.04,3.9,4,96.7,92.8,3.3,2,S217RU_Sorbus-aucuparia,6,21.1384615384615,16.000762961349,-12.000762961349
4796,1.01,1.04,3.9,4,96.7,92.8,3.3,2,Cr183TAD_Crataegus-calpodendron,6,21.1384615384615,16.000762961349,-12.000762961349
4796,1,1.04,3.9,4,96.3,92.4,3.8,2,Mlu211GrAl_Malus-sieversii,6,21.1384615384615,16.000762961349,-12.000762961349
4796,1.01,1.04,3.9,4,96.7,92.8,3.3,2,Mlu226BIN_Malus-sylvestris,6,21.1384615384615,16.000762961349,-12.000762961349
4796,1.04,1.18,16,18.1,88.1,72.1,11.9,3,S232BIN_Sorbus-sambucifolia,6,21.1384615384615,16.000762961349,2.099237038651
4796,1.15,1.19,18.3,19,96.7,78.3,3.3,2,Cr185TAD_Crataegus-punctata,6,21.1384615384615,16.000762961349,2.999237038651
4796,1.05,1.19,17.1,19.4,88.1,71,11.9,3,S230GrAl_Sorbus-tianschanica,6,21.1384615384615,16.000762961349,3.39923703865099
4796,1.17,1.21,19.2,19.8,96.7,77.5,3.3,3,Pyr227GrAl_Pyrus-regelii,6,21.1384615384615,16.000762961349,3.799237038651
4796,1.17,1.21,20,20.7,96.7,76.7,3.3,2,Pyrn229Dut_Pyracantha-coccinea,6,21.1384615384615,16.000762961349,4.699237038651
4796,1.09,1.21,18.8,20.8,90.1,71.4,9.9,3,Cr196LE_Crataegus-chlorosarca,6,21.1384615384615,16.000762961349,4.799237038651
4796,1.07,1.21,18.8,21.3,88.1,69.3,11.9,3,Cr205LE_Crataegus-pycnoloba,6,21.1384615384615,16.000762961349,5.299237038651
4796,1.07,1.21,18.8,21.3,88.1,69.3,11.9,3,Cr197LE_Crataegus-aronia,6,21.1384615384615,16.000762961349,5.299237038651
4796,1.17,1.21,20.6,21.3,96.7,76.1,3.3,2,Mlu225ILL_Malus-ombrophila,6,21.1384615384615,16.000762961349,5.299237038651
4796,1.18,1.22,20.8,21.6,96.7,75.8,3.3,3,Cr209Wiss_Crataegus-laevigata,6,21.1384615384615,16.000762961349,5.599237038651
4796,1.18,1.22,20.8,21.6,96.7,75.8,3.3,4,Cr195RU_Crataegus-pentagyna,6,21.1384615384615,16.000762961349,5.599237038651
4796,1.18,1.22,20.8,21.6,96.7,75.8,3.3,2,Cr193GrAl_Crataegus-remotilobata,6,21.1384615384615,16.000762961349,5.599237038651
4796,1.18,1.22,21,21.7,96.7,75.7,3.3,2,Cr186TAD_Crataegus-brachyacantha,6,21.1384615384615,16.000762961349,5.699237038651
4796,1.31,1.36,33.8,34.9,96.7,62.9,3.3,5,Cr202RU_Crataegus-pinnatifida,6,21.1384615384615,16.000762961349,18.899237038651
4796,1.31,1.49,41.1,46.7,88.1,46.9,11.9,4,Cr184TAD_Crataegus-triflora,6,21.1384615384615,16.000762961349,30.699237038651
4796,1.72,1.77,72.1,74.6,96.7,24.6,3.3,5,Pour210RU_Pourthiaea-villosa,6,21.1384615384615,16.000762961349,58.599237038651
4992,0.77,1,0.1,0.2,77.2,77.1,22.8,1,Pru285BGUK_Prunus-tenella,7,21.1384615384615,25.6726838168298,-25.4726838168298
4992,0.98,1.01,0.5,0.5,98,97.4,2,1,Pyr227GrAl_Pyrus-regelii,7,21.1384615384615,25.6726838168298,-25.1726838168298
4992,1.06,1.08,7.8,8,98,90.1,2,2,Mlu211GrAl_Malus-sieversii,7,21.1384615384615,25.6726838168298,-17.6726838168298
4992,1.06,1.08,8,8.1,98,90,2,2,Cr206Wiss_Crataegus-monogyna,7,21.1384615384615,25.6726838168298,-17.5726838168298
4992,1.06,1.08,8,8.2,97.9,89.9,2.1,2,Cr202RU_Crataegus-pinnatifida,7,21.1384615384615,25.6726838168298,-17.4726838168298
4992,1.1,1.12,11.7,11.9,98,86.3,2,2,Cr209Wiss_Crataegus-laevigata,7,21.1384615384615,25.6726838168298,-13.7726838168298
4992,1.15,1.18,13.1,13.4,98,84.9,2,4,Cr204Bab_Crataegus-dahurica,7,21.1384615384615,25.6726838168298,-12.2726838168298
4992,1.12,1.14,13.8,14,98,84.2,2,3,S230GrAl_Sorbus-tianschanica,7,21.1384615384615,25.6726838168298,-11.6726838168298
4992,1.33,1.36,19,19.4,98,78.9,2,4,Cr185TAD_Crataegus-punctata,7,21.1384615384615,25.6726838168298,-6.27268381682982
4992,1.17,1.2,19.1,19.5,98,78.9,2,3,Cr196LE_Crataegus-chlorosarca,7,21.1384615384615,25.6726838168298,-6.17268381682982
4992,1.31,1.34,19.2,19.6,98,78.7,2,4,Cr183TAD_Crataegus-calpodendron,7,21.1384615384615,25.6726838168298,-6.07268381682982
4992,1.18,1.2,19.8,20.2,98,78.1,2,3,Pyrn229Dut_Pyracantha-coccinea,7,21.1384615384615,25.6726838168298,-5.47268381682982
4992,1.4,1.42,19.9,20.4,98,78,2,5,Cr184TAD_Crataegus-triflora,7,21.1384615384615,25.6726838168298,-5.27268381682982
4992,1.21,1.23,22.9,23.4,98,75,2,4,Mlu238BIN_Malus-toringo,7,21.1384615384615,25.6726838168298,-2.27268381682982
4992,1.42,1.45,24.2,24.7,98,73.8,2,3,S232BIN_Sorbus-sambucifolia,7,21.1384615384615,25.6726838168298,-0.972683816829818
4992,1.49,1.52,24.8,25.3,98,73.1,2,5,Cr195RU_Crataegus-pentagyna,7,21.1384615384615,25.6726838168298,-0.372683816829817
4992,1.41,1.44,25.9,26.4,98,72.1,2,5,S217RU_Sorbus-aucuparia,7,21.1384615384615,25.6726838168298,0.727316183170181
4992,1.28,1.3,29.6,30.2,98,68.4,2,3,Mlu225ILL_Malus-ombrophila,7,21.1384615384615,25.6726838168298,4.52731618317018
4992,2.03,2.07,30.5,31.1,98,67.5,2,14,Cr205LE_Crataegus-pycnoloba,7,21.1384615384615,25.6726838168298,5.42731618317018
4992,1.66,1.69,32.3,33,98,65.6,2,7,Cr186TAD_Crataegus-brachyacantha,7,21.1384615384615,25.6726838168298,7.32731618317018
4992,1.32,1.34,33.4,34.1,98,64.5,2,4,Cr197LE_Crataegus-aronia,7,21.1384615384615,25.6726838168298,8.42731618317018
4992,1.53,1.57,37.2,38,98,60.8,2,9,Cr193GrAl_Crataegus-remotilobata,7,21.1384615384615,25.6726838168298,12.3273161831702
4992,1.45,1.48,40.2,41.1,98,57.7,2,6,Mlu226BIN_Malus-sylvestris,7,21.1384615384615,25.6726838168298,15.4273161831702
4992,2.31,2.36,52.3,53.4,98,45.7,2,9,Pour210RU_Pourthiaea-villosa,7,21.1384615384615,25.6726838168298,27.7273161831702
4992,1.77,1.81,55.7,56.9,98,42.3,2,4,Hsp222TAD_Hesperomeles-obtusifolia,7,21.1384615384615,25.6726838168298,31.2273161831702
4992,2.34,2.39,78.3,79.9,98,19.7,2,7,Micr214RU_Micromeles-alnifolia,7,21.1384615384615,25.6726838168298,54.2273161831702
4890,0.39,1,0.2,0.5,38.6,38.4,61.4,1,Pru285BGUK_Prunus-tenella,8,21.1384615384615,36.5677693942593,-36.0677693942593
4890,1.19,1.26,24.3,25.8,94.3,69.9,5.7,3,Micr214RU_Micromeles-alnifolia,8,21.1384615384615,36.5677693942593,-10.7677693942593
4890,1.29,1.29,27,27,100,73,0,3,Pyr227GrAl_Pyrus-regelii,8,21.1384615384615,36.5677693942593,-9.56776939425927
